Age,Gender,Weight(Kg),Height(cm),Muscle(%),Body Fat(%),Daily Average Calorie Intake,Daily Average Protein Intake(g),Daily Average Fat Intake(g),Daily Average Carb Intake(g),Daily Average Sugar Intake(g),Exercise per week,Waist circumference (cm),Hip circumference (cm)
60,0,51,158,45,30,-258,71,-7,-120,-21,2,24,26
67,1,82,178,60,21,2884,123,80,418,92,3,26,43
24,0,44,157,55,30,-225,57,-6,-100,-16,1,16,36
26,1,76,181,85,5,2473,99,69,364,77,1,35,48
38,0,57,165,61,20,-258,80,-7,-129,-28,2,21,50
19,1,61,173,87,5,2242,79,62,342,62,1,34,38
23,1,78,183,85,6,2902,109,81,434,87,2,33,42
59,1,73,178,65,18,3105,117,86,466,92,4,35,36
23,0,73,171,61,25,-258,102,-7,-151,-33,2,26,41
30,0,53,169,56,28,-225,69,-6,-112,-23,1,21,20
53,0,55,168,49,28,-225,72,-6,-115,-34,1,27,32
23,1,59,164,75,15,2408,83,67,368,72,2,19,31
25,0,52,166,53,32,-193,62,-5,-99,-23,0,27,32
30,1,64,156,72,17,2058,83,57,303,53,1,30,27
61,0,69,179,47,28,-193,83,-5,-120,-30,0,20,45
57,0,83,174,43,34,-225,108,-6,-151,-30,1,36,53
25,0,84,185,60,25,-225,109,-6,-152,-37,1,31,39
24,0,45,160,58,27,-290,68,-8,-122,-34,3,21,22
25,1,94,196,85,5,3272,132,91,481,89,2,44,45
28,1,83,181,66,23,3287,124,91,493,101,3,33,40
23,0,61,174,69,17,-225,79,-6,-122,-23,1,24,25
62,0,60,173,46,29,-322,96,-9,-156,-34,4,22,35
57,1,65,178,58,26,2668,98,74,402,71,3,35,35
23,0,47,165,69,17,-225,61,-6,-104,-21,1,19,25
18,1,84,189,74,18,3098,118,86,463,92,2,29,53
23,1,54,175,76,14,3962,103,110,640,127,7,33,20
49,0,60,162,57,20,-225,78,-6,-121,-31,1,21,25
52,1,62,176,65,19,2637,93,73,402,82,3,29,28
30,0,62,169,54,30,-322,99,-9,-159,-26,4,12,36
53,0,63,176,49,28,-225,82,-6,-125,-27,1,21,27
61,0,47,153,46,29,-258,66,-7,-115,-25,2,19,26
24,0,48,153,63,22,-225,62,-6,-105,-13,1,12,16
24,1,73,179,71,19,3121,110,87,474,89,3,38,45
28,1,83,190,82,7,3765,133,105,572,114,4,35,39
28,1,71,182,84,5,2398,92,67,357,73,1,21,33
51,1,55,164,66,18,2385,82,66,366,77,3,23,28
28,1,70,180,69,20,2366,91,66,352,77,1,28,35
29,1,64,181,84,5,2284,83,63,346,67,1,11,24
30,0,64,170,60,23,-225,83,-6,-126,-27,1,22,36
50,1,42,173,69,15,1759,55,49,274,60,1,21,15
31,0,54,157,56,27,-322,86,-9,-146,-29,4,15,30
58,1,82,185,65,18,3044,123,85,447,87,3,38,41
72,0,61,159,43,29,-225,79,-6,-122,-24,1,33,24
65,0,58,148,50,22,-322,93,-9,-153,-34,4,26,25
25,1,67,178,74,16,2992,100,83,461,93,3,25,31
27,0,55,162,68,16,-290,82,-8,-136,-33,3,21,37
26,0,59,169,70,15,-193,71,-5,-108,-12,0,28,40
63,0,61,156,41,34,-225,79,-6,-122,-29,1,22,27
62,1,70,174,63,19,2372,98,66,346,76,2,36,39
51,1,65,168,71,13,2030,84,56,298,64,1,31,42
27,0,61,156,72,12,-225,79,-6,-122,-28,1,24,38
26,1,88,188,84,6,2702,114,75,393,81,1,30,39
22,1,50,160,82,9,2511,75,70,395,76,3,12,20
60,0,51,157,52,22,-354,87,-10,-153,-34,5,18,30
22,1,68,183,80,11,3781,116,105,593,116,5,23,41
56,1,68,183,67,16,2168,88,60,319,75,1,18,39
58,1,73,175,67,16,1846,88,51,259,51,0,36,29
19,1,82,190,73,18,3068,115,85,461,98,2,45,36
18,0,50,162,66,21,-290,75,-8,-130,-18,3,18,41
23,0,49,168,76,10,-258,69,-7,-118,-15,2,24,22
41,0,50,163,60,20,-258,70,-7,-119,-24,2,18,42
65,0,51,159,49,24,-419,97,-12,-175,-30,7,25,38
64,1,70,173,72,9,2053,91,57,294,68,1,39,32
26,1,82,194,72,18,2670,107,74,394,70,1,32,33
27,0,64,166,51,33,-322,102,-9,-162,-30,4,28,38
26,1,65,174,77,13,2580,91,72,392,78,2,33,30
60,1,59,185,61,22,2902,94,81,449,87,4,28,38
66,1,35,167,68,12,1496,46,42,234,52,1,17,18
26,1,67,185,72,18,2722,94,76,416,86,2,31,40
27,0,76,179,57,27,-225,99,-6,-142,-27,1,28,32
24,1,73,179,77,13,3814,124,106,591,125,5,40,44
27,1,54,171,77,13,2662,81,74,418,85,3,19,29
49,1,76,171,76,8,2224,99,62,318,54,1,41,46
22,1,55,181,75,16,1892,66,53,288,69,0,32,18
65,0,50,176,42,33,-258,70,-7,-119,-34,2,13,24
60,1,55,169,63,20,2360,82,66,360,76,3,12,26
25,1,65,173,82,8,2256,84,63,338,69,1,33,40
50,1,71,167,68,17,2414,99,67,354,67,2,28,37
58,1,66,176,69,13,2360,92,66,350,69,2,20,26
62,0,56,163,46,28,-225,73,-6,-116,-18,1,34,33
24,1,59,173,73,17,2179,77,61,330,70,1,30,31
29,0,63,167,70,14,-258,88,-7,-137,-25,2,32,42
27,1,63,174,80,10,2858,94,79,443,87,3,26,29
21,1,74,189,83,8,4371,133,121,688,142,6,38,36
30,0,61,163,62,21,-386,110,-11,-182,-37,6,21,34
26,0,82,168,60,25,-354,139,-10,-205,-41,5,29,45
70,1,57,165,64,16,1508,68,42,214,45,0,27,16
49,1,68,164,68,17,3223,116,90,487,93,5,28,41
51,0,46,156,57,19,-258,64,-7,-113,-17,2,16,37
30,1,50,166,79,10,1671,60,46,254,56,0,17,20
72,0,59,167,44,27,-258,83,-7,-132,-26,2,26,27
60,0,85,178,51,23,-193,102,-5,-139,-30,0,29,40
21,0,70,165,69,17,-258,98,-7,-147,-31,2,19,45
69,1,49,175,64,16,1741,64,48,263,50,1,21,30
67,0,76,168,42,32,-258,106,-7,-155,-30,2,19,53
54,0,71,168,50,26,-322,114,-9,-174,-39,4,18,53
22,1,68,176,82,9,3350,109,93,519,107,4,29,31
61,1,60,171,69,13,1642,72,46,235,48,0,22,34
48,1,84,189,71,14,3930,143,109,594,126,5,24,42
23,1,64,176,68,22,2282,83,63,346,75,1,29,35
21,1,63,176,81,10,2282,82,63,347,70,1,21,28
30,1,93,183,68,21,2700,121,75,385,67,1,51,44
24,1,87,170,81,9,2908,122,81,423,83,2,50,52
51,1,59,164,65,19,2457,88,68,373,72,3,28,28
57,0,61,168,54,21,-258,85,-7,-134,-26,2,25,38
26,1,73,178,84,6,3092,110,86,470,98,3,29,47
18,1,59,171,86,6,1888,71,52,284,62,0,26,41
73,0,69,165,39,34,-386,124,-11,-196,-41,6,37,50
20,1,67,170,74,17,2292,87,64,342,78,1,33,22
26,1,81,187,76,14,4078,138,113,627,128,5,32,37
32,1,84,183,75,13,2926,118,81,431,85,2,33,50
27,0,50,163,56,28,-258,70,-7,-119,-17,2,13,28
33,1,68,181,73,15,4293,129,119,676,139,7,43,39
28,0,64,167,62,22,-322,102,-9,-162,-27,4,24,29
64,1,64,165,69,12,2170,90,60,318,58,2,26,34
55,1,59,157,73,10,2342,88,65,351,71,3,15,22
27,0,65,166,60,24,-258,91,-7,-140,-28,2,26,32
24,1,78,184,78,12,2904,109,81,435,82,2,40,39
33,1,54,163,73,15,2798,86,78,438,86,4,30,30
