"Age","Gender","Weight (kg)","Height (cm)","Muscle (%)","Fat (%)","Daily Average Calories","Daily Average Protein (g)","Daily Average Fat (g)","Daily Average Sugar (g)","Exercise Level"
22,"M",85,189,67.6,20,4500,50,40,40,7
18,"F",54,165,42,33,2200,80,70,30,5
21,"M",72,178,58,28,3100,120,90,50,6
16,"M",61,150,35,40,1800,60,50,25,8
34,"M",98,183,72,18,3800,150,130,60,4
27,"F",48,170,38,30,2000,70,60,20,6
35,"M",82,195,65,22,3400,130,100,45,5
19,"F",59,162,40,35,2500,90,80,35,2
41,"M",75,180,60,25,3200,110,95,55,10
17,"F",67,172,45,32,2400,80,75,40,9
23,"M",92,188,70,16,4000,140,120,70,3
14,"M",42,158,50,25,1900,85,55,20,8
18,"M",65,175,55,23,2800,100,80,40,7
25,"F",78,168,48,27,2900,125,90,30,6
34,"F",62,173,43,34,2300,95,85,35,5
31,"M",80,185,62,25,3600,135,110,50,5
20,"F",50,160,39,38,2100,75,65,25,8
22,"M",70,170,53,24,3000,105,90,45,7
17,"F",45,155,40,30,1800,60,50,20,9
30,"M",90,182,68,19,3900,160,125,65,4
51,"F",57,163,47,28,2400,85,70,30,4
56,"M",68,177,59,22,3300,115,95,50,3
47,"F",72,175,42,35,2700,100,80,35,4
59,"M",87,187,65,20,3700,145,110,60,2
