Age,Gender,Weight(Kg),Height(cm),Muscle(%),Body Fat(%),Daily Average Calorie Intake,Daily Average Protein Intake(g),Daily Average Fat Intake(g),Daily Average Carb Intake(g),Daily Average Sugar Intake(g),Exercise per week,Waist circumference (cm),Hip circumference (cm)
28,Male,85,183,42,18,2800,150,100,300,40,5,90,102
35,Female,68,165,35,25,1800,100,60,200,30,3,75,95
42,Male,92,178,40,20,2500,140,80,280,50,4,98,104
22,Female,55,160,30,20,1600,80,50,180,20,2,65,85
58,Male,75,170,38,22,2200,120,70,240,35,3,88,97
28,Female,52,150,48,11,2150,50,42,268,22,0,62,80
46,Female,52,154,36,18,3202,112,111,391,32,0,70,93
26,Male,55,177,38,28,1648,134,106,395,42,6,85,95
29,Female,119,153,38,25,2502,120,84,258,57,2,98,115
58,Male,96,151,44,22,1686,147,92,387,67,5,95,102
50,Male,85,177,37,25,2837,125,47,349,45,7,92,101
52,Female,74,174,39,35,2018,77,66,145,26,3,82,103
44,Male,51,177,26,27,2518,100,105,175,35,0,80,90
47,Male,53,176,29,35,2548,148,109,139,40,1,84,93
38,Female,59,194,37,28,2965,168,85,103,56,2,78,106
37,Female,70,166,50,32,2792,81,59,314,57,6,77,98
49,Female,90,184,39,14,2698,110,61,171,70,0,88,106
20,Female,60,196,49,12,1514,170,105,391,30,1,72,90
19,Male,111,174,40,11,3445,174,105,354,73,1,100,108
59,Male,54,199,31,19,2059,166,113,262,29,6,76,88
39,Female,58,199,35,18,2440,87,69,155,34,2,73,93
29,Male,78,198,47,35,1606,87,71,177,30,4,92,104
26,Female,102,186,30,30,1903,157,49,254,45,2,94,118
61,Male,99,155,29,16,2853,74,81,160,53,4,98,103
45,Male,81,178,44,31,2269,122,120,299,34,0,93,106
42,Female,74,179,27,22,2693,102,44,270,74,0,83,102
18,Female,98,168,26,29,2676,93,116,307,75,6,93,115
38,Female,55,167,41,12,1886,96,49,315,57,2,68,89
29,Male,85,187,38,10,1787,76,44,124,52,2,89,99
22,Male,112,184,49,28,3112,55,102,212,61,0,99,107
38,Male,74,152,38,30,1829,185,78,207,74,7,82,92
58,Female,105,195,48,16,2846,97,102,308,39,1,94,118
54,Female,101,177,38,32,3441,166,90,238,75,2,96,116
20,Female,71,188,47,20,2579,82,87,208,31,5,76,98
30,Female,119,180,35,26,3033,107,45,233,75,7,102,118
23,Male,56,160,26,23,2437,124,114,222,32,7,75,86
30,Female,77,196,50,28,2796,147,53,198,76,6,79,102
29,Male,57,151,40,33,1913,200,84,120,22,5,78,88
64,Female,82,192,29,18,2701,137,120,146,50,1,86,106
28,Female,102,169,33,28,2735,170,54,265,55,7,95,112
64,Male,76,196,26,15,3207,156,53,117,56,3,84,93
56,Male,82,174,39,14,2659,98,52,288,75,6,89,98
22,Female,68,150,26,11,2112,189,67,359,28,1,72,90
28,Male,85,183,42,18,2800,150,100,300,40,5,88,104
35,Female,68,165,35,25,1800,100,60,200,30,3,72,92
42,Male,92,178,40,20,2500,140,80,280,50,4,95,106
22,Female,55,160,30,20,1600,80,50,180,20,2,68,88
58,Male,75,170,38,22,2200,120,70,240,35,3,82,96
28,Female,52,150,48,11,2150,50,42,268,22,0,60,78
46,Female,52,154,36,18,3202,112,111,391,32,0,74,96
26,Male,55,177,38,28,1648,134,106,395,42,6,78,92
29,Female,119,153,38,25,2502,120,84,258,57,2,102,120
58,Male,96,151,44,22,1686,147,92,387,67,5,100,110
50,Male,85,177,37,25,2837,125,47,349,45,7,90,102
52,Female,74,174,39,35,2018,77,66,145,26,3,85,108
44,Male,51,177,26,27,2518,100,105,175,35,0,76,88
47,Male,53,176,29,35,2548,148,109,139,40,1,80,90
38,Female,59,194,37,28,2965,168,85,103,56,2,76,104
37,Female,70,166,50,32,2792,81,59,314,57,6,80,100
49,Female,90,184,39,14,2698,110,61,171,70,0,84,102
20,Female,60,196,49,12,1514,170,105,391,30,1,66,86
19,Male,111,174,40,11,3445,174,105,354,73,1,96,106
59,Male,54,199,31,19,2059,166,113,262,29,6,74,86
39,Female,58,199,35,18,2440,87,69,155,34,2,78,98
29,Male,78,198,47,35,1606,87,71,177,30,4,88,100
26,Female,102,186,30,30,1903,157,49,254,45,2,106,122
61,Male,99,155,29,16,2853,74,81,160,53,4,92,100
45,Male,81,178,44,31,2269,122,120,299,34,0,96,108
42,Female,74,179,27,22,2693,102,44,270,74,0,80,98
18,Female,98,168,26,29,2676,93,116,307,75,6,96,118
