Age,Sex,Height_cm,Weight_kg,Wrist_cm,Waist_cm,Hip_cm,Neck_cm,UpperArm_cm,Thigh_cm,Calf_cm,Forearm_cm,Chest_cm,Shoulder_cm,Ankle_cm,Bicep_cm,BodyFatPct,MuscleMass_kg,bmi,bsa_mosteller,fat_mass_kg,lean_mass_kg,fat_mass_index,ffmi,waist_hip_ratio,waist_height_ratio,body_adiposity_index,conicity_index,abdominal_volume_index,waist_neck_ratio,upper_lower_limb_ratio,calf_thigh_ratio,arm_trunk_ratio,forearm_upper_arm_ratio,shoulder_waist_ratio,hip_waist_difference,chest_waist_ratio,frame_size_index,relative_muscle_mass,muscle_to_fat_ratio,skeletal_muscle_index,bicep_to_wrist_ratio,calf_muscle_index
74.0,F,145.0,87.0,,124.0,130.0,33.0,42.0,76.7,40.0,30.0,105.9,45.3,24.0,27.0,60.0,38.7,41.37931034482759,1.8719419506669182,52.199999999999996,34.800000000000004,24.827586206896548,16.551724137931036,0.9538461538461539,0.8551724137931035,56.45456814473239,146.86542352590817,30.7772,3.757575757575758,0.5475880052151239,0.5215123859191656,0.3387096774193548,0.7142857142857143,0.36532258064516127,6.0,0.8540322580645162,,44.48275862068966,0.7413793103448277,18.40665873959572,,27.586206896551722
41.0,MALE,169.6,125.0,18.0,108.9,130.0,47.0,48.0,79.0,38.7,35.0,104.0,19.3,22.0,36.0,28.0,46.0,43.45685742257031,2.4267032964268394,35.0,90.0,12.167920078319687,31.288937344250623,0.8376923076923077,0.6420990566037736,40.857875286271856,116.37489423011354,24.030067000000003,2.317021276595745,0.6075949367088608,0.48987341772151904,0.4407713498622589,0.7291666666666666,0.17722681359044995,21.099999999999994,0.9550045913682277,10.61320754716981,36.8,1.3142857142857143,15.992123531505875,2.0,22.818396226415096
39.0,female,165.5,86.2,16.0,110.0,111.6,35.0,35.0,55.0,30.0,27.0,139.0,40.0,23.4,23.0,37.6,30.1,31.47105265559825,1.99067967175926,32.4112,53.7888,11.833115798504942,19.637936857093308,0.9856630824372761,0.6646525679758308,34.416400903897426,139.8336047341484,24.201792,3.142857142857143,0.6363636363636364,0.5454545454545454,0.3181818181818182,0.7714285714285715,0.36363636363636365,1.5999999999999943,1.2636363636363637,9.667673716012084,34.91879350348028,0.9286913165819223,10.989311890179899,1.4375,18.12688821752266
51.0,Female,161.0,75.0,,111.6,118.0,35.1,42.0,62.0,46.0,25.0,85.0,38.0,23.0,35.0,42.0,30.4,28.93406890166274,1.8314384146529925,31.5,43.5,12.15230893869835,16.78175996296439,0.9457627118644067,0.693167701863354,39.76212915292787,150.00992812864146,24.937791999999998,3.1794871794871793,0.6774193548387096,0.7419354838709677,0.3763440860215054,0.5952380952380952,0.34050179211469533,6.400000000000006,0.7616487455197133,,40.53333333333333,0.965079365079365,11.727942594807297,,28.57142857142857
58.0,Female,,43.0,16.0,65.0,131.0,30.0,24.0,41.0,37.0,26.1,,36.0,22.0,37.0,30.0,16.1,,,12.9,30.1,,,0.4961832061068702,,,,11.4992,2.1666666666666665,0.5853658536585366,0.9024390243902439,0.36923076923076925,1.0875000000000001,0.5538461538461539,66.0,,,37.441860465116285,1.248062015503876,,2.3125,
73.0,Female,164.0,90.5,15.0,,140.0,34.0,37.0,59.0,32.5,25.0,100.0,,20.0,38.0,41.0,,33.6481261154075,2.0304624541659906,37.105,53.395,13.795731707317074,19.852394408090426,,,48.659532513429426,,,,0.6271186440677966,0.5508474576271186,,0.6756756756756757,,,,9.146341463414634,,,,2.533333333333333,19.817073170731707
66.0,male,165.0,133.4,18.6,149.0,121.0,45.0,48.0,71.2,38.0,26.9,111.3,42.0,24.6,46.0,45.0,56.8,48.99908172635446,2.472684101673052,60.03,73.37,22.049586776859506,26.949494949494955,1.2314049586776858,0.9030303030303031,39.08992257184502,152.02808597277334,44.9508,3.311111111111111,0.6741573033707865,0.5337078651685393,0.3221476510067114,0.5604166666666667,0.28187919463087246,-28.0,0.7469798657718121,11.272727272727273,42.578710644677656,0.9461935698817258,20.86317722681359,2.4731182795698925,23.03030303030303
73.0,male,177.0,,17.0,105.0,93.0,42.0,26.0,57.0,39.0,30.0,102.0,40.0,23.9,40.0,8.7,28.1,,,,,,,1.1290322580645162,0.5932203389830508,21.49326587811474,,22.1508,2.5,0.45614035087719296,0.6842105263157895,0.24761904761904763,1.1538461538461537,0.38095238095238093,-12.0,0.9714285714285714,9.6045197740113,,,8.969325545022183,2.3529411764705883,22.033898305084744
71.3,male,177.0,,17.0,105.0,93.0,42.0,26.0,56.2,39.0,30.0,102.0,40.0,23.9,41.8,8.7,28.1,,,,,,,1.1290322580645162,0.5932203389830508,21.49326587811474,,22.1508,2.5,0.4626334519572953,0.693950177935943,0.24761904761904763,1.1538461538461537,0.38095238095238093,-12.0,0.9714285714285714,9.6045197740113,,,8.969325545022183,2.4588235294117644,22.033898305084744
21.0,female,160.0,50.0,14.0,77.0,122.0,32.4,32.2,55.0,40.9,28.0,103.0,41.1,24.0,25.0,35.0,20.2,19.531249999999996,1.4907119849998598,17.5,32.5,6.835937499999999,12.695312499999998,0.6311475409836066,0.48125,42.28091789695972,126.36861230641013,13.2755,2.376543209876543,0.5854545454545456,0.7436363636363637,0.4181818181818182,0.8695652173913043,0.5337662337662338,45.0,1.3376623376623376,8.75,40.4,1.1542857142857141,7.890624999999998,1.7857142857142858,25.5625
