Age,Sex,Height_cm,Weight_kg,Wrist_cm,Waist_cm,Hip_cm,Neck_cm,UpperArm_cm,Thigh_cm,Calf_cm,Forearm_cm,Chest_cm,Shoulder_cm,Ankle_cm,Bicep_cm,BodyFatPct,MuscleMass_kg
74,F,145.0,87,,124,130,33,42,76.7,40.0,30,105.9,45.3,24,27,60,38.7
41,MALE,169.6,125,18,108.9,130,47,48,79,38.7,35.0,104,19.3,22,36,28,46.0
39,female,165.5,86.2,16,110.0,111.6,35.0,35.0,55.0,30,27,139,40.0,23.4,23.0,37.6,30.1
51,Female,161,75,,111.6,118,35.1,42,62,46,25.0,85,38,23,35.0,42,30.4
58,Female,,43,16,65.0,131,30.0,24,41,37,26.1,,36,22,37,30,16.1
73,Female,164,90.5,15,,140,34,37,59,32.5,25.0,100.0,,20.0,38,41,
66,male,165.0,133.4,18.6,149,121,45,48,71.2,38,26.9,111.3,42.0,24.6,46,45.0,56.8
73,male,177,,17,105.0,93,42,26,57,39,30,102,40.0,23.9,40.0,8.7,28.1
71.3,male,177,,17,105.0,93,42,26,56.2,39,30,102,40.0,23.9,41.8,8.7,28.1
21,female,160.0,50,14,77,122,32.4,32.2,55.0,40.9,28,103,41.1,24,25.0,35.0,20.2
57,f,160,80.2,15,98,130.0,33.2,43,74.9,36,26,105,40,28,30,44.0,
44,f,65.1,944.0,18,99,,35.0,38,74.1,34,23,110.0,42,23.7,30.0,47.4,36.2
68,M,171,152.6,20.0,148,132.1,39.5,50,70.0,,29.2,150.0,45.0,25.0,46,58,50.7
50,Male,165.0,67,16,118,99,41,38.4,63.9,38,30.0,99,48.7,23,40.1,21,25.3
42,Female,145,59,13,118,123,36.3,28,47,35.7,27,89,31,20.0,26.7,38,24.5
57,f,155,72,16.7,103,118,34.1,31,64,41,25,110.2,40,21,37,40.0,
56,M,170.0,75,19,80,88,,27,67,43,31,114,43,24.4,38,33,27.9
40,f,160.8,65.0,20.0,95,95,35,42,55.8,35,25,104.0,40.0,21,23,33.6,29.5
32,Female,65.4,85,6.0,81,124,34,26,57.1,39,24,95.0,38.4,23,30.0,55,37.1
25,FEMALE,156,85,15.7,120.0,95.0,36.4,36,71.6,,30.7,101.3,34.4,24,28,42.2,32.6
24.4,FEMALE,155.5,85,15.7,120.0,95.0,36.3,36,71.6,,30.7,101.3,34.4,24,28,42.2,32.6
24,m,175.0,110,15.0,94.4,,51,31,67.5,48.5,32.1,122,48.5,25.0,43.4,31.4,41.8
73,Female,157,57.0,16,128,105.0,33.2,,61.8,35,25,94,40.0,20.0,35.0,50.0,29.8
44,M,171,119,15.0,125.5,105.0,37,45.0,61.3,43.1,28,135.0,44,25,33.0,37,47.3
41,female,157,85.0,17,110.0,130.0,40.0,29,55,42,11.0,105,,21,33,60,36.5
26,FEMALE,162.2,60.0,15,87,86,31.9,20,53,40.0,22,93,34.0,22.9,37.7,19,22.1
21,Male,171,73,19,121,116,37.9,27,62,,30.0,94,,22,,30,30.8
24,F,170.8,85.1,16.2,86,112,33,38,45.0,,29,85.0,44,9.8,,32.5,34.8
48,f,164,75,15.0,102,110.0,34,35.0,59,38,27,90.0,34.6,22,27.4,40.0,30.1
25,M,175,218.3,91.0,105,112,39,40.0,69,38.8,29,105.5,43.7,20.7,46.4,32.9,38.7
53,male,176.0,85.8,17.5,120,46.1,38.3,33,54.8,37,30.0,109.0,44,25,36,30,26.2
45,f,160.4,68.4,18.2,111,92.2,32.9,26,51,35.0,23,69,39,19.8,37,23,24.6
53,m,162.5,67,17,96.8,108,44.6,20.2,52.7,39.7,25.0,120,17.7,25.0,31,17,
56,female,153.7,90.0,16,105.0,120,40.0,39,68,35.0,30,97,38.4,23,36.5,41,41.0
18,MALE,165,35,15.0,59.9,82.4,33,25.0,48.6,42.7,30,39.9,41.7,,29.3,5.0,14.5
55,m,172,194.7,17,90.0,107.4,40.0,32.7,71.5,33,35.6,117.0,42,22,35.0,12.9,38.6
54.9,m,172,194.7,15.9,90.0,107.4,40.0,32.7,73.3,33,35.6,117.0,42,22,35.0,12.9,38.6
64,FEMALE,59.8,45,14,108.6,97.2,30,31.4,44.5,36,23,95.6,40.4,20,28.8,20,18.5
32,m,173.4,79,17.6,94,95,,29.3,58.4,33.4,30,105,45.0,20.0,28,10.0,34.5
24,FEMALE,166,88,16,100,107,37,33,58,40.0,25.0,102.9,37.8,21,30.5,50.0,34.1
45,f,169,48.6,14,88,117,34.2,27,55,41,19,,36.7,19,28.2,,
47,female,164,40.0,15.0,55.0,91,30.9,25.0,51.4,32,22,99,41,18,22,6.3,17.5
27,MALE,177,52,15.8,94,85.0,37,24.8,35,35,35.0,122,45,25.0,,25,17.0
27,MALE,177,52,15.8,94,85.0,37,22.8,35,35,33.3,122,45,25.0,,25,18.6
19,f,173.9,94.9,16,99,112,41,34.1,64,46,23,112.0,41.7,22,34,54,30.0
68,M,169,44.6,18.3,38.6,100,31.2,29,,35,28,98.3,42,,34,20.4,
43,m,171.7,81,20.0,105.0,109,40,37,71,41,25,93,42,52.0,35.0,26,28.1
21,female,151,43,16.2,66,75,30,20,62,36,21,76,43,21.8,24,27,18.6
40,male,170,99,20.0,121,117.7,43.1,39.6,65,44,27.3,105.0,42.8,23,45.0,35,43.1
47,m,160,63.2,17,81.0,115,42.8,34.9,52,33,34,97,42,25.1,,,25.7
72,FEMALE,146.3,63,16,100.0,116.0,30.7,32.7,,,26,108,38,20.1,37,42,20.6
38,m,187,107.6,17,99,111.5,41,42,71,37,29,107,50.3,24.4,43.6,32,45.7
29,female,163,63,15.8,86.2,104,,28.5,48,35.0,26.3,89.2,35.0,20.3,27.3,36,27.2
46,Male,177,115.0,17,127.5,123.2,42,45.0,72,40.0,30,90.6,48,10.2,43.4,30,57.6
56,male,169.1,54,18.8,79,98.5,42.4,30,35.7,40,27,77,36,25.0,34,14,20.8
27,male,176,81,19,120,99.6,32.4,49,60.6,46.1,27,,39,20.0,33.3,19,39.8
36,Female,1160.0,42,14,35.5,95.8,32,30.0,48,37.3,26,85,63.0,21.5,30,34,22.5
36,Female,1160.0,42,14,35.5,95.8,32.9,30.0,49.1,37.3,26,85,63.0,21.5,30,33.9,22.5
72,FEMALE,155,40,16.0,64,89,12.2,25.0,49.8,40.0,21.7,72,35.4,21,31.7,30.0,16.0
69,M,162,844.0,17.9,91,115.6,42.1,44.6,25.1,44.6,28.4,,41.6,27.5,40.0,30.0,35.3
70,female,156,60,16.3,101,96.3,28.8,35.0,55.3,30,23,,37.6,8.3,41,45.3,29.5
58,Female,146,60.0,16,100.0,100.0,35.0,37,74.1,37,29.9,90.0,38,23.8,38,31.2,27.3
64,m,171,120.0,18,125.0,124.8,45,36.6,71,44,28,91,43.2,,37,30.0,59.0
64,m,171,120.0,18,125.0,124.8,45,37.1,71,45.7,28,91,43.2,,37,30.0,59.6
26,FEMALE,161,50,16,80.0,95.0,33,31,39,40.0,21,87,38.8,20,27,24.0,17.9
60,female,1533.0,105.8,15,125.0,130,33.6,37,60.0,38,30.0,99,37.7,23.2,33.4,60,43.4
